Code,foldchange,samp.lf
A1CF,0.18237401,0.241581946
A2M,0.011196741,0.944216796
A4GALT,0.010604147,0.447493156
A4GNT,-0.0427649,0.760443211
AAAS,0.089099618,0.606079171
AACS,-0.02231871,0.458443951
AADAC,0.012049905,0.89209471
AAGAB,-0.119716335,0.237671476
AAK1,-0.07970243,0.231255642
AAMDC,-0.025522503,0.983465779
AAMP,-0.149998404,0.587536811
AANAT,0.094606469,0.242110248
AAR2,-0.086441815,0.192650388
AARS,-0.110608604,0.270429893
AARSD1,-0.172227316,0.113133555
AASDHPPT,0.222014455,0.058565298
AASS,0.064204611,0.429709212
AATF,-0.124001822,0.270262671
AATK,-0.000374628,0.957196448
ABAT,0.011577013,0.886868664
ABCA1,0.184279423,0.21908842
ABCA11P,0.099479209,0.626109508
ABCA12,-0.072372397,0.255136515
ABCA2,-0.049924461,0.445078801
ABCA3,-0.142246106,0.387288938
ABCA4,-7.30E-05,0.917203108
ABCA5,-0.357040606,0.003798742
ABCA6,0.069862536,0.42454532
ABCA7,-0.162594173,0.050396596
ABCA8,-0.0465388,0.922958935
ABCB1,0.007838311,0.784916759
ABCB11,-0.033494865,0.787589345
ABCB4,0.07304997,0.474133925
ABCB6,0.09061333,0.052977432
ABCB7,0.095406158,0.305681835
ABCB8,0.035100057,0.593025897
ABCB9,-0.008535911,0.565937107
ABCC1,-0.238956176,0.004892342
ABCC10,-0.043358575,0.382578616
ABCC2,-0.059810942,0.430962634
ABCC3,-0.185545389,0.146843507
ABCC4,-0.018955213,0.787872734
ABCC5,-0.198814293,0.118428413
ABCC6,0.101144456,0.383303737
ABCC6P1,0.22934009,0.180788013
ABCC6P2,0.22934009,0.180788013
ABCC8,-0.00090519,0.908444691
ABCC9,0.018874229,0.835470218
ABCD1,-0.131711067,0.121824639
ABCD1P2,0.005158982,0.339952645
ABCD2,-0.099099355,0.382324084
ABCD3,0.217631831,0.322978912
ABCD4,-0.054535592,0.25718535
ABCE1,0.172004641,0.398155383
ABCF1,-0.094841454,0.162097669
ABCF2,-0.132150005,0.139372549
ABCF3,-0.193020017,0.066534961
ABCG1,0.043042756,0.440079911
ABCG2,0.075106135,0.286376619
ABCG4,0.048950306,0.357872734
ABCG5,-0.020212021,0.49400222
ABHD10,-0.077476054,0.364236774
ABHD11,-0.099743301,0.340602294
ABHD14A,0.06829122,0.765732889
ABHD14A-ACY1,-0.027160782,0.553934887
ABHD17A,0.128625161,0.273616722
ABHD17B,0.062422788,0.925410285
ABHD2,-0.052460413,0.643168331
ABHD3,0.044884958,0.676660007
ABHD4,-0.077424091,0.665762486
ABHD5,0.119373237,0.319462079
ABHD6,-0.094986336,0.2347303
ABHD8,0.069476732,0.169955605
ABI1,0.072180437,0.540936737
ABI2,0.077232338,0.389987421
ABI3BP,0.0070421,0.975959304
ABL1,-0.391294497,0.026742138
ABL2,-0.011322224,0.723018868
ABLIM1,-0.041830293,0.527110618
ABLIM3,0.186490179,0.497285239
ABO,-0.027567768,0.532872364
abParts,-0.213019652,0.175248243
ABR,-0.22351112,0.103973363
ABT1,-0.138695268,0.520234554
ABTB2,-0.074295363,0.899950425
AC002310.7,-0.086034721,0.907559009
AC003989.4,0.064333215,0.287225305
AC004490.1,0.056235917,0.615891972
AC004692.5,0.153013287,0.507294118
AC004941.5,-0.010902238,0.676537921
AC005838.2,0.120152613,0.348052534
AC007292.3,-0.027203535,0.589357751
AC007389.3,0.072018671,0.67836404
AC007967.3,0.097156711,0.373656678
AC009237.8,-0.05743435,0.853667777
AC009947.3,0.009855078,0.860390677
AC012065.7,-0.147486176,0.166480207
AC068039.4,-0.026791202,0.807874214
AC074212.6,0.045374957,0.734713282
AC084219.3,0.091430499,0.375655938
AC104537.2,-0.000588222,0.873629301
AC128677.4,-0.208608618,0.13818202
ACAA1,-0.09086308,0.327593045
ACAA2,-0.007711341,0.879207547
ACACA,-0.082751161,0.107776545
ACACB,0.011821318,0.605134295
ACAD10,-0.078953088,0.121072142
ACAD8,-0.514869109,0.009882353
ACADL,0.000173234,0.860438032
ACADM,0.291513812,0.083302997
ACADS,0.169003162,0.158256012
ACADSB,0.117635382,0.347126156
ACADVL,-0.179407333,0.114415094
ACAN,0.06891786,0.092121347
ACAP1,-0.092426261,0.387693674
ACAP2,0.069689849,0.68190677
ACAT1,-0.01044511,0.881437662
ACAT2,-0.152354834,0.177761006
ACBD3,0.042801653,0.790339623
ACBD4,-0.029923184,0.404373659
ACD,-0.015298747,0.502132445
ACE,-0.037242895,0.886579356
ACE2,0.012799004,0.747018128
ACHE,0.036473573,0.360608953
ACIN1,-0.158566951,0.140991491
ACKR1,0.025373897,0.522119867
ACKR2,-0.052580096,0.642515723
ACKR3,0.379421175,0.20209101
ACKR4,-0.037670586,0.787043285
ACLY,-0.213028104,0.113706252
ACN9,0.162345992,0.029311136
ACO1,0.150729077,0.091487976
ACO2,-0.073561404,0.382597114
ACOT1,-0.029472672,0.793573067
ACOT11,0.058964492,0.37590973
ACOT13,-0.164749983,0.320217536
ACOT2,-0.029472672,0.793573067
ACOT7,-0.124518878,0.314228635
ACOT8,0.092830572,0.58064077
ACOT9,-0.203157311,0.182784314
ACOX1,0.127531748,0.190762856
ACOX2,-0.000482258,0.901377728
ACOX3,-0.137067568,0.023675916
ACOXL,-0.028368792,0.858223455
ACP1,-0.023428211,0.883150573
ACP2,-0.268145119,0.105309656
ACP5,0.022929485,0.993415464
ACP6,0.121857936,0.784399556
ACPP,0.101948417,0.628175361
ACR,-0.038968534,0.514042175
ACRV1,-0.033522399,0.838765076
ACSBG1,-0.063729662,0.730226415
ACSBG2,0.07736189,0.404529042
ACSF2,-0.178575684,0.019064743
ACSL1,-0.024238931,0.754482427
ACSL3,0.07575807,0.734701443
ACSL4,0.363596014,0.041333333
ACSL5,-0.095746057,0.197131336
ACSL6,0.064826318,0.42709064
ACSM1,0.09632991,0.065672216
ACSM2A,0.022547692,0.728746578
ACSM2B,0.022547692,0.728746578
ACSM3,0.096357167,0.464311506
ACSM5,0.04470841,0.876240474
ACSS3,-0.029279471,0.491285979
ACTA1,0.030734075,0.740459489
ACTA2,-0.003812096,0.880207177
ACTB,-0.058223592,0.344971143
ACTBP9,-0.02349779,0.488311506
ACTC1,0.030086948,0.788351461
ACTG1,-0.022393085,0.469647799
ACTG1P4,-0.406678579,0.11209323
ACTG2,0.044581635,0.294771735
ACTL6A,0.020609595,0.570796892
ACTL6B,0.0724631,0.473928228
ACTL7A,0.140688339,0.380951535
ACTL7B,0.017294427,0.585689974
ACTL8,-0.11595101,0.127132075
ACTN1,0.093755901,0.583712172
ACTN2,0.011588313,0.834280429
ACTN3,-0.048101724,0.377735849
ACTN4,-0.035346733,0.921881613
ACTR10,0.024711035,0.605294858
ACTR1A,-0.107337911,0.243304477
ACTR1B,-0.010478893,0.637967444
ACTR2,0.077652713,0.518864225
ACTR3,0.071709463,0.512623011
ACTR3B,0.087730418,0.684832408
ACTR3P2,-0.026633003,0.62545764
ACTR5,-0.364629665,0.003798002
ACTR6,0.075294875,0.697334073
ACTR8,0.083004788,0.981833518
ACVR1,-0.04998832,0.593253422
ACVR1B,-0.07735465,0.160868664
ACVR2A,0.08707141,0.849391047
ACVR2B,-0.162141432,0.072440991
ACVR2B-AS1,0.160676904,0.40036478
ACVRL1,-0.046352915,0.304762116
ACY1,0.020565219,0.659833888
ACYP1,0.093500886,0.654660007
ACYP2,0.096513329,0.074291528
ADA,-0.14315755,0.151743248
ADAM10,0.1636245,0.427007769
ADAM11,0.056919219,0.46827155
ADAM12,0.020666659,0.599840178
ADAM15,0.03796297,0.573118757
ADAM17,-0.00944179,0.609689974
ADAM18,-0.040892886,0.19882057
ADAM19,-0.105798329,0.162145764
ADAM2,0.125819646,0.063746208
ADAM20,-0.065135706,0.124440252
ADAM21,0.119263869,0.076059193
ADAM22,0.003284331,0.875773585
ADAM23,-0.040401751,0.863601924
ADAM28,-0.014825724,0.637497595
ADAM29,-0.04824846,0.713584166
ADAM30,-0.069393805,0.374435812
ADAM3A,0.024074197,0.466469108
ADAM3B,-0.021485493,0.972066593
ADAM5,0.098033833,0.147974103
ADAM7,-0.028636529,0.703626341
ADAM8,-0.166362251,0.013467259
ADAM9,0.242319989,0.124782094
ADAMDEC1,0.281951276,0.007873474
ADAMTS1,-0.050809577,0.54281687
ADAMTS12,-0.011648768,0.39799556
ADAMTS13,-0.054224406,0.811526452
ADAMTS2,0.024012785,0.49545838
ADAMTS20,0.005876577,0.677780984
ADAMTS3,-0.058779328,0.746701443
ADAMTS5,0.256944806,0.068952275
ADAMTS6,-0.07409352,0.294561598
ADAMTS7,0.010132757,0.614250092
ADAMTS8,0.021872263,0.631357751
ADAMTS9,0.041202636,0.589250462
ADAMTSL2,0.045518636,0.665621902
ADAMTSL3,0.001961457,0.610754717
ADAMTSL4,-0.096716509,0.311953385
ADAP1,0.136683271,0.287748428
ADAP2,-0.189934405,0.340188679
ADAR,-0.31375061,0.004055494
ADARB1,-0.014606514,0.688573437
ADARB2,-0.017276923,0.827955605
ADAT1,-0.131003991,0.121716611
ADCK2,-0.020348222,0.969119497
ADCK3,-0.046102174,0.494495006
ADCK4,-0.078391142,0.277294118
ADCY1,-0.029799927,0.674247873
ADCY10,-0.062156495,0.708984832
ADCY2,0.026824859,0.850580836
ADCY3,-0.116129357,0.196843507
ADCY6,-0.093455631,0.547482057
ADCY7,-0.269669312,0.046474288
ADCY8,0.080019613,0.458281169
ADCY9,-0.094792801,0.081493156
ADCYAP1,-0.092770082,0.191613023
ADCYAP1R1,-0.030215929,0.822563818
ADD1,-0.168376606,0.047873474
ADD2,-0.068310568,0.586327784
ADD3,0.176081399,0.28245061
ADD3-AS1,0.052936397,0.610390677
ADGB,-0.062177987,0.455812801
ADH1A,0.021482789,0.741349612
ADH1B,-0.005369703,0.841835738
ADH1C,0.032844836,0.656855346
ADH5,0.06430285,0.527132075
ADH6,-0.022370053,0.572409175
ADH7,0.061611092,0.569482057
ADI1,-0.039203733,0.987163152
ADIPOQ,-0.013865801,0.823400666
ADIPOR1,0.11017089,0.459993341
ADIPOR2,-0.270618487,0.03572549
ADIRF,0.021071111,0.794077691
ADK,0.122694486,0.1178165
ADM,0.911585806,0.01209175
ADM2,0.057970913,0.529666297
ADNP,-0.089965637,0.159654458
ADNP2,-0.131188714,0.198232334
ADO,-0.067776592,0.935661117
ADORA1,0.014503473,0.351747688
ADORA2A,0.103999023,0.696566038
ADORA2B,-0.028278178,0.36281465
ADORA3,-0.061005947,0.196122826
ADPGK,-0.070367543,0.200933037
ADPRH,0.044047713,0.515803922
ADPRM,-0.035553341,0.841872734
ADRA1A,0.033914994,0.57499593
ADRA1B,0.068781132,0.675700333
ADRA1D,0.060013851,0.186214576
ADRA2A,0.063040272,0.221970403
ADRA2B,0.020995449,0.89799778
ADRA2C,-0.070877333,0.791072142
ADRB1,-0.035611836,0.50036256
ADRB2,-0.038270314,0.647556049
ADRB3,0.095624761,0.220755457
ADRBK1,-0.012011321,0.963644099
ADRBK2,-0.084196213,0.570869404
ADRM1,0.00480127,0.907111358
ADSL,-0.097238103,0.192779134
ADSS,0.042624278,0.737684795
ADTRP,0.007750647,0.646246393
AEBP1,-0.229158285,0.114718461
AEN,-0.05339931,0.398395117
AES,0.056482724,0.791741028
AF007147,-0.528969127,0.043889752
AF070581,0.01418154,0.891732889
AF090939,-0.029032307,0.700511284
AF198444,0.022657292,0.936484647
AFAP1,-0.102461578,0.315628561
AFF1,-0.017659484,0.712507584
AFF2,-0.021859778,0.990066593
AFF3,0.039857686,0.267309656
AFF4,0.109013946,0.282492786
AFG3L2,-0.283335776,0.007970403
AFM,0.02608728,0.311858676
AFP,-0.101136801,0.426204218
AFTPH,0.037652342,0.898051794
AGA,-0.062468879,0.428646689
AGAP1,-0.344175107,0.227762486
AGAP10,-0.344287437,0.003038106
AGAP11,-0.317991085,0.007876804
AGAP2,0.044095655,0.585864595
AGAP4,-0.317991085,0.007876804
AGAP5,-0.344287437,0.003038106
AGAP6,-0.291694732,0.012715501
AGAP7P,-0.291694732,0.012715501
AGAP9,-0.344287437,0.003038106
AGBL2,-0.020077942,0.906067333
AGBL3,-0.012132008,0.785813541
AGBL5,0.039238975,0.697259341
AGER,-0.037319085,0.451017388
AGFG1,0.035233162,0.460375879
AGFG2,-0.004542524,0.744292268
AGGF1,0.08341094,0.431877174
AGK,0.030673681,0.496053274
AGL,0.076534955,0.955612283
AGMAT,0.099206192,0.353824639
AGO1,-0.15664785,0.050768036
AGO2,-0.074366555,0.310608953
AGO3,0.196160866,0.384384018
AGO4,-0.007593466,0.365257862
AGPAT1,0.020866082,0.991468738
AGPAT2,0.1817361,0.01745542
AGPAT3,-0.135886671,0.507597484
AGPAT4,-0.108111922,0.283597484
AGPAT5,0.067224792,0.737596004
AGPS,-0.073857704,0.532853866
AGR2,0.027327186,0.515516093
AGRN,-0.052874756,0.317721791
AGRP,-0.03102404,0.774734739
AGT,0.032241224,0.506282649
AGTPBP1,0.154299813,0.335311876
AGTR1,-0.008616397,0.907154273
AGTR2,-0.003367178,0.930978912
AGXT,-0.018588688,0.963799482
AHCTF1,0.104566318,0.508571957
AHCY,0.204371928,0.423128376
AHCYL1,0.032298598,0.841384388
AHCYL2,0.088245807,0.286392157
AHDC1,-0.083607768,0.208030337
AHI1,-0.089304355,0.240487606
AHNAK,-0.053209373,0.446441731
AHNAK2,-0.038298355,0.882832408
AHR,0.159079324,0.274015538
AHSA1,-0.270480673,0.206253792
AHSA2,-0.508798591,0.025279319
AHSG,0.095733831,0.22099667
AHSP,0.048433078,0.592217536
AICDA,-0.010286362,0.886413615
AIDA,0.185865008,0.066250832
AIF1,-0.219180036,0.367507214
AIFM1,-0.242146169,0.021307436
AIM1,-0.153842375,0.145467999
AIM1L,-0.088093734,0.339007769
AIM2,0.028169099,0.287846837
AIMP1,0.001664606,0.896354421
AIMP2,0.00235623,0.719234924
AIP,-0.111648926,0.283443581
AIPL1,-0.025102288,0.8878202
AIRE,0.045960025,0.541783944
AJ011981,-0.027052505,0.932332963
AJAP1,0.031593161,0.657316315
AK021537,-0.063374764,0.709051424
AK021933,-0.028518364,0.710596374
AK022030,0.002091427,0.599941546
AK055967,-0.05743435,0.853667777
AK055981,-0.345002451,0.010449131
AK096803,0.026739878,0.799761746
AK1,-0.366002688,0.017667777
AK125860,0.002285373,0.707154273
AK2,-0.128143101,0.065955605
AK291611,-0.11898377,0.491026267
AK4,-0.053291383,0.703302997
AK5,0.135400551,0.559621902
AK6,0.142090452,0.201555309
AKAP1,-0.212879611,0.044791713
AKAP10,0.121678511,0.290930818
AKAP11,-0.053847577,0.469290418
AKAP12,-0.121200895,0.143348132
AKAP13,-0.137279441,0.349025527
AKAP17A,-0.404789428,0.02099815
AKAP2,-0.031236934,0.861889012
AKAP3,0.068619969,0.536970033
AKAP4,-0.040196772,0.833491676
AKAP5,0.014832422,0.945775065
AKAP6,0.031704195,0.26499963
AKAP7,0.066506036,0.475796522
AKAP8,-0.077116035,0.214734739
AKAP8L,-0.014151769,0.748757677
AKAP9,-0.135288367,0.269525712
AKIP1,-0.097918321,0.420955235
AKIRIN1,0.124724181,0.402013319
AKR1A1,0.084730473,0.374695523
AKR1B1,-0.055742984,0.489880133
AKR1B10,-0.022544461,0.209519793
AKR1C1,-0.013694129,0.867445061
AKR1C2,-0.050510939,0.574426933
AKR1C3,-0.219291397,0.376377358
AKR1C4,-0.029930193,0.469312616
AKR1D1,0.003125426,0.974719941
AKR7A2,0.103886651,0.771937847
AKR7A3,-0.019133412,0.535557529
AKT1,-0.094576663,0.304056974
AKT2,0.026495393,0.376644469
AKT3,-0.015550396,0.87299815
AKTIP,0.026298349,0.83036108
AL109706,-0.037369215,0.568040696
AL590762.11,0.060406042,0.941529412
AL928768.3,-0.202411767,0.161251942
ALAD,0.082066383,0.277676656
ALAS1,0.11312557,0.435018868
ALAS2,0.010021244,0.591289678
ALB,-0.005928155,0.86436108
ALCAM,0.008553589,0.933353311
ALDH18A1,-0.272174664,0.014970773
ALDH1A1,0.424199536,0.007462079
ALDH1A2,-0.049260906,0.526055494
ALDH1A3,0.064406737,0.645217906
ALDH1B1,-0.023945342,0.387624121
ALDH1L1,0.013139804,0.989939327
ALDH2,0.126613524,0.216648169
ALDH3A1,0.089483804,0.400738439
ALDH3A2,-0.054556429,0.49409175
ALDH3B1,0.165515662,0.084857566
ALDH3B2,0.039254621,0.504170181
ALDH4A1,0.019947748,0.84500259
ALDH5A1,0.0261873,0.733164632
ALDH6A1,0.125226379,0.206310026
ALDH7A1,-0.023769092,0.801309656
ALDH8A1,-0.07134899,0.659103959
ALDH9A1,-0.071140527,0.551914909
ALDOA,0.017012414,0.937852016
ALDOAP2,0.032780995,0.608238994
ALDOB,0.042039754,0.472669626
ALDOC,-0.068388511,0.650247873
ALG11,-0.014943906,0.687337033
ALG12,0.080764852,0.4730936
ALG13,0.055733867,0.634103589
ALG3,-0.112642882,0.145593045
ALG5,-0.06344514,0.998347762
ALG6,0.034561299,0.877009249
ALG8,-0.104028218,0.168237514
ALG9,-0.240826968,0.049286718
ALK,0.004640154,0.863849797
ALKBH1,0.027606578,0.995703293
ALKBH4,-0.098730802,0.219327414
ALLC,0.056380738,0.630446171
ALMS1,-0.064545521,0.408380318
ALOX12,0.440768671,0.160048095
ALOX12B,0.080142976,0.356923418
ALOX12P2,-0.049530836,0.90572549
ALOX15,-0.043427882,0.351425083
ALOX15B,0.139486188,0.509756567
ALOX5,-0.113133635,0.510419534
ALOX5AP,-0.146606452,0.225295597
ALOXE3,0.014555521,0.959414724
ALPI,-0.027223635,0.989211987
ALPK1,-0.039568434,0.628802072
ALPK3,-0.024403931,0.680293748
ALPL,0.095749807,0.126563818
ALPP,-0.0055639,0.597163892
ALPPL2,-0.007282735,0.724043655
ALS2CL,-0.108393596,0.572327044
ALX1,0.088169391,0.290514983
ALX3,0.035273383,0.385052904
ALX4,-0.076056772,0.750281169
AMACR,-0.046565772,0.413038106
AMBN,0.077851681,0.412576397
AMBP,-0.040255583,0.566896041
AMBRA1,0.003611891,0.526138365
AMD1,0.188297219,0.107952645
AMDHD2,0.122973233,0.497699593
AMELX,-0.053575963,0.318140585
AMELY,0.089442416,0.441146134
AMFR,0.218163259,0.367687754
AMH,0.091322308,0.474566038
AMHR2,-0.01252876,0.984140585
