Code,foldchange,samp.nuts
A1CF,0.01128994,0.89009471
A2M,0.017034474,0.722714021
A4GALT,-0.114837122,0.243991121
A4GNT,-0.059243959,0.334938217
AAAS,-0.058174138,0.462950795
AACS,-0.030476185,0.595550869
AADAC,0.077256591,0.22336811
AAGAB,0.006062503,0.944601554
AAK1,-0.064097057,0.350603774
AAMDC,0.069792397,0.299551609
AAMP,0.082889052,0.268994451
AANAT,0.148995235,0.056896781
AAR2,-0.05059828,0.646721421
AARS,0.02438999,0.71009397
AARSD1,0.046751876,0.69127488
AASDHPPT,0.14814486,0.241353311
AASS,-0.065284442,0.394496485
AATF,0.077196619,0.213802442
AATK,0.100713171,0.229169071
ABAT,-0.129427174,0.126578616
ABCA1,0.050624669,0.699516093
ABCA11P,0.060884012,0.27208731
ABCA12,-0.024688528,0.683579726
ABCA2,-0.012557093,0.808129486
ABCA3,0.014476775,0.874187199
ABCA4,0.045428906,0.537597484
ABCA5,-0.084513802,0.580779134
ABCA6,-0.035258065,0.47699963
ABCA7,-0.1458571,0.153790603
ABCA8,0.037888571,0.439741768
ABCB1,-0.022589013,0.650449131
ABCB11,-0.026478942,0.612753237
ABCB4,-0.111261906,0.38736182
ABCB6,0.014874591,0.829237144
ABCB7,0.208898576,0.103261561
ABCB8,0.024104408,0.661010359
ABCB9,-0.001962389,0.986056974
ABCC1,-0.180223261,0.055346652
ABCC10,-0.260627795,0.038719201
ABCC2,0.004920301,0.952068812
ABCC3,-0.170672157,0.127193489
ABCC4,0.01081549,0.894697003
ABCC5,-0.021273198,0.848899741
ABCC6,-0.032392464,0.725664817
ABCC6P1,-0.05601392,0.574551239
ABCC6P2,-0.05601392,0.574551239
ABCC8,0.095779373,0.195941546
ABCC9,0.032663022,0.493894192
ABCD1,-0.197725406,0.010418054
ABCD1P2,-0.012911263,0.809931927
ABCD2,0.173193857,0.02427081
ABCD3,0.072741806,0.314838328
ABCD4,-0.076516845,0.232887902
ABCE1,0.257605389,0.022613393
ABCF1,0.033183437,0.626019238
ABCF2,0.067520081,0.17018202
ABCF3,-0.015011179,0.862205697
ABCG1,-0.136747068,0.120459489
ABCG2,0.09763599,0.248797632
ABCG4,0.098609928,0.332210877
ABCG5,0.099092987,0.119898631
ABHD10,0.021485787,0.8370899
ABHD11,-0.055061164,0.397286718
ABHD14A,0.00671447,0.955530152
ABHD14A-ACY1,0.033638219,0.737143174
ABHD17A,-0.138962771,0.120612653
ABHD17B,0.236196228,0.103828339
ABHD2,-0.043191198,0.625681095
ABHD3,-0.022533876,0.716469108
ABHD4,0.057955621,0.378805771
ABHD5,0.118551374,0.15545246
ABHD6,-0.049339666,0.548200518
ABHD8,-0.074412579,0.32190751
ABI1,0.095466568,0.27154199
ABI2,0.101379452,0.036992971
ABI3BP,-0.011002992,0.838953015
ABL1,-0.341531503,0.033519793
ABL2,0.093888114,0.300576397
ABLIM1,0.025494472,0.820404735
ABLIM3,-0.009853822,0.945613762
ABO,0.069864044,0.388880503
abParts,-0.245298387,0.481775065
ABR,-0.096803804,0.292337403
ABT1,0.082047145,0.413863855
ABTB2,0.010524728,0.858471328
AC002310.7,-0.036051121,0.715702553
AC003989.4,0.00785576,0.857243803
AC004490.1,0.149703906,0.001985202
AC004692.5,0.06913625,0.546520903
AC004941.5,0.035444244,0.554938217
AC005838.2,0.023664705,0.610069552
AC007292.3,0.037989235,0.6827303
AC007389.3,0.164329027,0.06054162
AC007967.3,-0.008776973,0.887459859
AC009237.8,0.027866687,0.626849427
AC009947.3,0.044097612,0.508733259
AC012065.7,-0.075532095,0.381971143
AC068039.4,-0.167237686,0.174651868
AC074212.6,-0.129934552,0.069358491
AC084219.3,0.04424873,0.493629301
AC104537.2,-0.024909712,0.641603404
AC128677.4,0.054269949,0.842566778
ACAA1,-0.063534232,0.295805401
ACAA2,0.056511779,0.345037366
ACACA,-0.061630676,0.391781724
ACACB,-0.108476689,0.373923048
ACAD10,-0.117588656,0.190012579
ACAD8,-0.189719849,0.185527932
ACADL,-0.03836799,0.368159822
ACADM,0.099618082,0.388559378
ACADS,0.047846807,0.576396596
ACADSB,-0.075042848,0.334193119
ACADVL,-0.032657951,0.670070292
ACAN,0.109956292,0.100408435
ACAP1,-0.020975243,0.823503515
ACAP2,-0.082872824,0.184105068
ACAT1,0.087870244,0.454802812
ACAT2,0.238932855,0.047206807
ACBD3,0.318616661,0.045213467
ACBD4,-0.052999086,0.554398816
ACD,-0.010595091,0.903785424
ACE,0.12033127,0.058901221
ACE2,0.003718322,0.926226415
ACHE,0.04706404,0.196588975
ACIN1,-0.169634598,0.167439142
ACKR1,0.010041483,0.912697003
ACKR2,0.046389657,0.508108028
ACKR3,0.01946194,0.891331114
ACKR4,0.149498368,0.019293378
ACLY,-0.13655266,0.030291528
ACN9,0.087048384,0.225286718
ACO1,0.112889417,0.302741398
ACO2,0.015294249,0.78508842
ACOT1,-0.033471274,0.751840178
ACOT11,-0.07485847,0.182595634
ACOT13,0.137508911,0.294991491
ACOT2,-0.033471274,0.751840178
ACOT7,0.037813758,0.604754717
ACOT8,0.081071372,0.495465779
ACOT9,-0.01267441,0.887189049
ACOX1,0.059841289,0.48627377
ACOX2,0.150720437,0.224216796
ACOX3,-0.020634925,0.811654458
ACOXL,-0.055719492,0.193798742
ACP1,0.121346172,0.313308176
