Code,foldchange,samp.olive
A1CF,0.142284079,0.061552349
A2M,0.078554993,0.232508324
A4GALT,-0.07379328,0.498255272
A4GNT,-0.01131325,0.898469108
AAAS,-0.071093701,0.447507214
AACS,-0.033432511,0.71681909
AADAC,0.217112434,0.011593045
AAGAB,0.057812428,0.474652608
AAK1,-0.03004558,0.697487976
AAMDC,0.065022892,0.393765446
AAMP,0.081797415,0.42808879
AANAT,0.054664104,0.477569367
AAR2,0.077218153,0.460919719
AARS,-0.060878601,0.483226045
AARSD1,0.063893016,0.423718831
AASDHPPT,-0.039248963,0.641102479
AASS,0.013121922,0.842196818
AATF,-0.058044059,0.372026637
AATK,0.096470726,0.347166112
ABAT,0.018861452,0.798248613
ABCA1,-0.047242773,0.61345542
ABCA11P,-0.035440929,0.576950055
ABCA12,-0.08566675,0.137615242
ABCA2,-0.0533029,0.436162042
ABCA3,0.062231535,0.507136515
ABCA4,0.126902287,0.237587865
ABCA5,-0.164133726,0.297220866
ABCA6,0.05852955,0.230746578
ABCA7,-0.173492119,0.10282131
ABCA8,0.203633813,0.041739549
ABCB1,-0.199364458,0.176588235
ABCB11,0.051107649,0.418158343
ABCB4,-0.192351205,0.196773955
ABCB6,0.046526365,0.526648169
ABCB7,-0.028270491,0.743200148
ABCB8,-0.031137625,0.710108398
ABCB9,0.004285235,0.945443581
ABCC1,-0.066622306,0.449169811
ABCC10,0.031717844,0.681628561
ABCC2,0.102120235,0.13535923
ABCC3,-0.050100561,0.638864965
ABCC4,0.022626592,0.805675176
ABCC5,0.014516895,0.885991861
ABCC6,0.046447138,0.685644099
ABCC6P1,0.107977016,0.508206437
ABCC6P2,0.107977016,0.508206437
ABCC8,-0.026577408,0.66591195
ABCC9,0.02837718,0.565812801
ABCD1,-0.013904732,0.870984832
ABCD1P2,-0.047297359,0.49017832
ABCD2,-0.073666786,0.351126156
ABCD3,-0.072331646,0.49026933
ABCD4,0.033339846,0.565714391
ABCE1,-0.106990205,0.301124676
ABCF1,-0.007028882,0.928733999
ABCF2,-0.045756813,0.413795043
ABCF3,-0.059849775,0.509232704
ABCG1,0.068628045,0.478278949
ABCG2,0.059494491,0.406986312
ABCG4,0.027619458,0.721578986
ABCG5,0.071630846,0.296786533
ABHD10,0.03565982,0.603625601
ABHD11,-0.020860513,0.700879023
ABHD14A,-0.110964189,0.409439882
ABHD14A-ACY1,-0.034267393,0.744565298
ABHD17A,-0.178445717,0.080300407
ABHD17B,-0.144531722,0.250629671
ABHD2,-0.136977982,0.150643729
ABHD3,0.035141214,0.605590085
ABHD4,0.034210601,0.65190529
ABHD5,0.087542204,0.270642249
ABHD6,0.10544629,0.151807621
ABHD8,-0.104419849,0.143348872
ABI1,0.009268212,0.917193489
ABI2,0.059265386,0.239900851
ABI3BP,-0.035942658,0.526800592
ABL1,-0.032256457,0.830629671
ABL2,0.033340538,0.57281983
ABLIM1,-0.27466991,0.02454162
ABLIM3,0.082293423,0.545336293
ABO,0.03084548,0.713500555
abParts,0.109035223,0.4161835
ABR,-0.079749654,0.518069552
ABT1,0.025174822,0.794668147
ABTB2,0.15878429,0.06972845
AC002310.7,0.050279999,0.492119127
AC003989.4,0.095217435,0.165242323
AC004490.1,0.059270452,0.406962634
AC004692.5,-0.040684309,0.705948206
AC004941.5,-0.059008795,0.431346652
AC005838.2,0.057902812,0.47772327
AC007292.3,-0.088297201,0.26309212
AC007389.3,0.081814261,0.417297817
AC007967.3,0.07737458,0.222896781
AC009237.8,0.149163984,0.070759896
AC009947.3,-0.03379193,0.632762856
AC012065.7,-0.066092582,0.443378468
AC068039.4,0.097468414,0.411920089
AC074212.6,0.085455815,0.30708842
AC084219.3,-0.044508599,0.616554939
AC104537.2,0.038296828,0.581850536
AC128677.4,0.027241275,0.817902331
ACAA1,-0.051179123,0.502196818
ACAA2,-0.001651841,0.977669996
ACACA,0.056596149,0.381300777
ACACB,-0.086790754,0.272975213
ACAD10,0.019207324,0.801206067
ACAD8,-0.032713904,0.762108768
ACADL,0.107937993,0.068578616
