Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Photodynamic therapy-induced NF-kB survival signaling	8	35	36	22.86%	14.02	0.000
Signal transduction through IL1R	7	32	34	21.88%	12.81	0.000
Cytokines and inflammatory response	6	26	32	23.08%	12.20	0.000
Altered glycosylation of MUC1 in tumor microenvironment	3	9	10	33.33%	10.48	0.000
Overview of proinflammatory and profibrotic mediators	10	111	134	9.01%	9.28	0.000
Prostaglandin signaling	5	33	40	15.15%	8.84	0.000
T-cell receptor signaling pathway	8	86	93	9.30%	8.45	0.000
IL-18 signaling pathway	14	251	288	5.58%	8.12	0.000
Network map of SARS-CoV-2 signaling pathway	13	222	323	5.86%	8.08	0.000
COVID-19 adverse outcome pathway	3	15	24	20.00%	7.98	0.000
Quercetin and Nf-kB / AP-1 induced apoptosis	3	15	28	20.00%	7.98	0.000
Oligodendrocyte specification and differentiation, leading to myelin components for CNS	4	26	46	15.38%	7.97	0.000
TNF-related weak inducer of apoptosis (TWEAK) signaling pathway	5	41	45	12.20%	7.82	0.000
Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway	4	29	50	13.79%	7.50	0.000
Docosahexaenoic acid oxylipin metabolism	1	2	44	50.00%	7.48	0.000
Cells and molecules involved in local acute inflammatory response 	3	17	19	17.65%	7.45	0.001
Overview of nanoparticle effects	3	18	42	16.67%	7.22	0.000
SARS-CoV-2 innate immunity evasion and cell-specific immune response	6	66	92	9.09%	7.21	0.000
Spinal cord injury	8	112	127	7.14%	7.18	0.000
Nanomaterial-induced inflammasome activation	2	9	13	22.22%	6.90	0.001
Vitamin D in inflammatory diseases	3	22	25	13.64%	6.45	0.000
miRNAs involvement in the immune response in sepsis	4	38	69	10.53%	6.42	0.000
Lung fibrosis	5	59	85	8.47%	6.30	0.000
Neuroinflammation	2	11	31	18.18%	6.18	0.000
Ebstein-Barr virus LMP1 signaling	3	24	25	12.50%	6.14	0.002
Inflammatory bowel disease signaling	4	41	47	9.76%	6.13	0.000
TNF-alpha signaling pathway	6	87	97	6.90%	6.07	0.000
Fas ligand pathway and stress induction of heat shock proteins	4	42	48	9.52%	6.05	0.001
IL-10 anti-inflammatory signaling pathway 	2	12	19	16.67%	5.89	0.001
TLR4 signaling and tolerance	3	27	30	11.11%	5.73	0.001
2q13 copy number variation syndrome	4	46	99	8.70%	5.72	0.000
Toll-like receptor signaling pathway	6	100	117	6.00%	5.55	0.000
Hepatitis C and hepatocellular carcinoma	4	49	63	8.16%	5.51	0.000
Burn wound healing	6	102	133	5.88%	5.47	0.000
Pro-survival signaling of neuroprotectin D1	2	14	22	14.29%	5.40	0.004
2q11.2 copy number variation syndrome	3	30	88	10.00%	5.39	0.000
Development and heterogeneity of the ILC family	3	30	33	10.00%	5.39	0.001
RAS and bradykinin pathways in COVID-19	3	31	51	9.68%	5.28	0.000
Resistin as a regulator of inflammation	3	31	34	9.68%	5.28	0.001
IL-1 signaling pathway	4	53	57	7.55%	5.24	0.001
MYD88 distinct input-output pathway	2	15	20	13.33%	5.20	0.005
Nucleotide-binding oligomerization domain (NOD) pathway	3	33	43	9.09%	5.09	0.000
Glucocorticoid receptor pathway	4	59	73	6.78%	4.90	0.000
T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection	4	60	70	6.67%	4.85	0.001
Fibrin complement receptor 3 signaling pathway	3	39	47	7.69%	4.59	0.001
Th17 cell differentiation pathway	4	66	72	6.06%	4.55	0.000
STING pathway in Kawasaki-like disease and COVID-19	2	19	28	10.53%	4.53	0.005
