Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
Photodynamic therapy-induced NF-kB survival signaling	5	35	36	14.29%	8.25	0.000
COVID-19 adverse outcome pathway	3	15	24	20.00%	7.70	0.000
Lung fibrosis	6	59	85	10.17%	7.42	0.000
Docosahexaenoic acid oxylipin metabolism	1	2	44	50.00%	7.23	0.000
Network map of SARS-CoV-2 signaling pathway	12	222	323	5.41%	7.02	0.000
SARS-CoV-2 innate immunity evasion and cell-specific immune response	6	66	92	9.09%	6.93	0.000
Prostaglandin signaling	4	33	40	12.12%	6.71	0.000
Nanomaterial-induced inflammasome activation	2	9	13	22.22%	6.66	0.001
IL-18 signaling pathway	12	251	288	4.78%	6.44	0.000
Overview of proinflammatory and profibrotic mediators	7	111	134	6.31%	5.93	0.000
GDNF signaling	1	3	168	33.33%	5.85	0.000
Cytokines and inflammatory response	3	26	32	11.54%	5.64	0.002
Oligodendrocyte specification and differentiation, leading to myelin components for CNS	3	26	46	11.54%	5.64	0.001
Quercetin and Nf-kB / AP-1 induced apoptosis	2	15	28	13.33%	5.01	0.003
Spinal cord injury	6	112	127	5.36%	4.91	0.000
Lipid metabolism in senescent cells	2	16	25	12.50%	4.83	0.005
Corticotropin-releasing hormone signaling pathway	5	90	98	5.56%	4.59	0.002
Photodynamic therapy-induced HIF-1 survival signaling	3	37	38	8.11%	4.56	0.001
Overview of nanoparticle effects	2	18	42	11.11%	4.50	0.003
miR-517 relationship with ARCN1 and USP1	1	5	7	20.00%	4.44	0.022
TGF-beta signaling pathway	6	129	133	4.65%	4.43	0.001
Hypertrophy model	2	19	21	10.53%	4.36	0.006
Bladder cancer	3	40	47	7.50%	4.34	0.000
Aryl hydrocarbon receptor pathway	3	41	49	7.32%	4.27	0.002
Nuclear receptors meta-pathway	9	269	339	3.35%	4.18	0.000
Galanin receptor pathway	2	21	22	9.52%	4.11	0.004
Hfe effect on hepcidin production	1	6	8	16.67%	4.02	0.032
Metabolism of alpha-linolenic acid	1	6	27	16.67%	4.02	0.006
SCFA and skeletal muscle substrate metabolism	1	6	17	16.67%	4.02	0.003
Photodynamic therapy-induced unfolded protein response	2	22	28	9.09%	3.99	0.006
Gastrin signaling pathway	5	113	115	4.42%	3.89	0.003
NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence	2	23	46	8.70%	3.88	0.005
IL-3 signaling pathway	3	48	50	6.25%	3.85	0.004
Hepatitis C and hepatocellular carcinoma	3	49	63	6.12%	3.80	0.007
IL1 and megakaryocytes in obesity	2	24	26	8.33%	3.78	0.010
Unfolded protein response	2	24	28	8.33%	3.78	0.009
Activation of NLRP3 inflammasome by SARS-CoV-2	1	7	10	14.29%	3.68	0.036
lncRNA-mediated mechanisms of therapeutic resistance	1	7	14	14.29%	3.68	0.016
Apoptosis-related network due to altered Notch3 in ovarian cancer	3	52	54	5.77%	3.65	0.006
Caloric restriction and aging	1	8	13	12.50%	3.41	0.031
Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway	2	29	50	6.90%	3.35	0.016
Development and heterogeneity of the ILC family	2	30	33	6.67%	3.28	0.014
Myometrial relaxation and contraction pathways	5	142	161	3.52%	3.24	0.010
Toll-like receptor signaling pathway	4	100	117	4.00%	3.21	0.008
Prostaglandin and leukotriene metabolism in senescence 	2	31	57	6.45%	3.21	0.019
Ethanol metabolism production of ROS by CYP2E1	1	9	28	11.11%	3.18	0.008
Macrophage markers	1	9	10	11.11%	3.18	0.041
Burn wound healing	4	102	133	3.92%	3.16	0.005
Oxidative stress response	2	32	35	6.25%	3.14	0.015
Th17 cell differentiation pathway	3	66	72	4.55%	3.07	0.011
Aspirin and miRNAs	1	10	24	10.00%	2.99	0.013
Serotonin transporter activity	1	10	15	10.00%	2.99	0.054
Chromosomal and microsatellite instability in colorectal cancer 	3	70	81	4.29%	2.94	0.005
Host-pathogen interaction of human coronaviruses - MAPK signaling	2	36	43	5.56%	2.90	0.028
NAD metabolism, sirtuins and aging	1	11	16	9.09%	2.82	0.063
Neuroinflammation	1	11	31	9.09%	2.82	0.008
NRF2 pathway	4	118	145	3.39%	2.80	0.009
miRNAs involvement in the immune response in sepsis	2	38	69	5.26%	2.79	0.021
Serotonin and anxiety-related events	1	12	16	8.33%	2.67	0.079
NAD+ metabolism	1	13	34	7.69%	2.54	0.011
Neuroinflammation and glutamatergic signaling	4	133	178	3.01%	2.51	0.012
T-cell receptor signaling pathway	3	86	93	3.49%	2.48	0.018
Aryl hydrocarbon receptor pathway	2	45	57	4.44%	2.46	0.036
ErbB signaling pathway	3	87	101	3.45%	2.46	0.010
Allograft rejection	3	92	113	3.26%	2.34	0.017
MAPK pathway in congenital thyroid cancer	1	15	19	6.67%	2.32	0.085
miRNAs involved in DNA damage response	1	16	70	6.25%	2.22	0.059
Serotonin and anxiety	1	16	22	6.25%	2.22	0.088
Vitamin D receptor pathway	4	152	188	2.63%	2.20	0.034
TGF-beta receptor signaling	2	53	56	3.77%	2.16	0.028
IL-4 signaling pathway	2	54	55	3.70%	2.13	0.033
Cells and molecules involved in local acute inflammatory response 	1	17	19	5.88%	2.13	0.089
Overlap between signal transduction pathways contributing to LMNA laminopathies	2	55	73	3.64%	2.10	0.053
TGF-beta receptor signaling in skeletal dysplasias	2	56	60	3.57%	2.07	0.032
Kynurenine pathway and links to cell senescence	1	18	56	5.56%	2.05	0.027
Glucocorticoid receptor pathway	2	59	73	3.39%	1.97	0.054
Kit receptor signaling pathway	2	59	60	3.39%	1.97	0.028
NAD+ biosynthetic pathways	1	19	37	5.26%	1.97	0.051
Regulation of apoptosis by parathyroid hormone-related protein	1	19	24	5.26%	1.97	0.108
STING pathway in Kawasaki-like disease and COVID-19	1	19	28	5.26%	1.97	0.116
TP53 network	1	19	23	5.26%	1.97	0.110
Endometrial cancer	2	61	77	3.28%	1.92	0.063
FGF23 signaling in hypophosphatemic rickets and related disorders	1	20	28	5.00%	1.90	0.132
Oncostatin M signaling pathway	2	63	66	3.17%	1.86	0.048
Complement activation	1	21	24	4.76%	1.83	0.114
Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex	1	21	34	4.76%	1.83	0.109
Melanoma	2	66	78	3.03%	1.78	0.066
Blood clotting cascade	1	22	27	4.55%	1.77	0.132
Eicosanoid synthesis	1	22	56	4.55%	1.77	0.040
LDL- influence on CD14 and TLR4	1	22	28	4.55%	1.77	0.146
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	1	22	24	4.55%	1.77	0.107
PI3K/AKT/mTOR - vitamin D3 signaling	1	22	34	4.55%	1.77	0.124
Vitamin D in inflammatory diseases	1	22	25	4.55%	1.77	0.113
Estrogen signaling pathway	1	23	26	4.35%	1.71	0.134
Physiological and pathological hypertrophy of the heart	1	23	27	4.35%	1.71	0.110
Extrafollicular B cell activation by SARS-CoV-2	2	70	77	2.86%	1.69	0.061
Ebstein-Barr virus LMP1 signaling	1	24	25	4.17%	1.65	0.125
Selenium micronutrient network	2	72	198	2.78%	1.64	0.071
Hair follicle development: cytodifferentiation - part 3 of 3	2	73	93	2.74%	1.62	0.075
Relationship between inflammation, COX-2 and EGFR	1	25	29	4.00%	1.60	0.114
Measles virus infection	3	135	155	2.22%	1.57	0.041
FGFR3 signaling in chondrocyte proliferation and terminal differentiation	1	27	29	3.70%	1.50	0.134
Sphingolipid metabolism in senescence	1	27	49	3.70%	1.50	0.126
TLR4 signaling and tolerance	1	27	30	3.70%	1.50	0.153
Nonalcoholic fatty liver disease	3	141	170	2.13%	1.49	0.051
Dopaminergic neurogenesis	1	28	32	3.57%	1.46	0.162
T-cell activation SARS-CoV-2	2	82	98	2.44%	1.43	0.073
Hepatitis B infection	3	146	155	2.05%	1.43	0.098
Eicosanoid metabolism via cyclooxygenases (COX)	1	29	72	3.45%	1.42	0.051
Monoamine transport	1	29	47	3.45%	1.42	0.197
Selective expression of chemokine receptors during T-cell polarization	1	29	30	3.45%	1.42	0.134
2q11.2 copy number variation syndrome	1	30	88	3.33%	1.37	0.079
Apoptosis modulation and signaling	2	85	99	2.35%	1.37	0.086
RAS and bradykinin pathways in COVID-19	1	31	51	3.23%	1.33	0.181
Resistin as a regulator of inflammation	1	31	34	3.23%	1.33	0.155
Type 2 papillary renal cell carcinoma	1	31	41	3.23%	1.33	0.190
MAPK signaling pathway	4	229	258	1.75%	1.30	0.121
Interactions of natural killer cells in pancreatic cancer	1	32	43	3.13%	1.30	0.194
Signal transduction through IL1R	1	32	34	3.13%	1.30	0.151
Host-pathogen interaction of human coronaviruses - interferon induction	1	33	47	3.03%	1.26	0.216
Nucleotide-binding oligomerization domain (NOD) pathway	1	33	43	3.03%	1.26	0.203
Serotonin HTR1 group and FOS pathway	1	33	39	3.03%	1.26	0.169
Hepatocyte growth factor receptor signaling	1	34	35	2.94%	1.22	0.163
Small cell lung cancer	2	94	104	2.13%	1.22	0.109
CCL18 signaling pathway	1	36	177	2.78%	1.16	0.142
Neural crest cell migration during development	1	36	40	2.78%	1.16	0.179
Type II interferon signaling	1	36	38	2.78%	1.16	0.173
Endoplasmic reticulum stress response in coronavirus infection	1	37	57	2.70%	1.13	0.216
ATM signaling pathway	1	38	50	2.63%	1.09	0.216
Nuclear receptors	1	38	44	2.63%	1.09	0.207
Complement system	2	103	143	1.94%	1.08	0.181
Fibrin complement receptor 3 signaling pathway	1	39	47	2.56%	1.07	0.213
IL-5 signaling pathway	1	39	41	2.56%	1.07	0.193
Neural crest cell migration in cancer	1	39	43	2.56%	1.07	0.188
Oxidative damage response	1	39	44	2.56%	1.07	0.216
Oxysterols derived from cholesterol	1	39	112	2.56%	1.07	0.100
PDGF pathway	1	39	53	2.56%	1.07	0.247
Embryonic stem cell pluripotency pathways	2	107	123	1.87%	1.02	0.129
IL-2 signaling pathway	1	42	43	2.38%	0.98	0.189
NO/cGMP/PKG mediated neuroprotection	1	42	65	2.38%	0.98	0.262
IL6 signaling pathway	1	43	45	2.33%	0.96	0.199
Integrated cancer pathway	1	43	50	2.33%	0.96	0.216
Pre-implantation embryo	1	43	60	2.33%	0.96	0.280
Prostaglandin synthesis and regulation	1	43	61	2.33%	0.96	0.258
Glycolysis and gluconeogenesis	1	44	69	2.27%	0.93	0.270
2q13 copy number variation syndrome	1	46	99	2.17%	0.88	0.118
Interleukin-1 (IL-1) structural pathway	1	46	52	2.17%	0.88	0.245
Thymic stromal lymphopoietin (TSLP) signaling pathway	1	46	49	2.17%	0.88	0.219
Exercise-induced circadian regulation	1	47	49	2.13%	0.86	0.230
Vitamin B12 metabolism	1	47	118	2.13%	0.86	0.104
TYROBP causal network in microglia	1	50	61	2.00%	0.79	0.263
Adipogenesis	2	127	132	1.57%	0.76	0.628
IL-1 signaling pathway	1	53	57	1.89%	0.73	0.243
Notch signaling pathway	1	54	62	1.85%	0.71	0.284
VEGFA-VEGFR2 signaling pathway	5	396	436	1.26%	0.70	0.514
