Pathway	positive (r)	measured (n)	total	%	Z Score	p-value (permuted)
COVID-19 adverse outcome pathway	5	15	24	33.33%	12.54	0.000
Prostaglandin signaling	7	33	40	21.21%	11.64	0.000
Cytokines and inflammatory response	6	26	32	23.08%	11.28	0.000
Overview of proinflammatory and profibrotic mediators	12	111	134	10.81%	10.39	0.000
SARS-CoV-2 innate immunity evasion and cell-specific immune response	9	66	92	13.64%	10.30	0.000
Network map of SARS-CoV-2 signaling pathway	17	222	323	7.66%	10.03	0.000
Altered glycosylation of MUC1 in tumor microenvironment	3	9	10	33.33%	9.71	0.000
Photodynamic therapy-induced NF-kB survival signaling	6	35	36	17.14%	9.57	0.000
IL-18 signaling pathway	17	251	288	6.77%	9.26	0.000
Spinal cord injury	10	112	127	8.93%	8.44	0.000
Lung fibrosis	7	59	85	11.86%	8.37	0.000
Signal transduction through IL1R	5	32	34	15.63%	8.29	0.000
miRNAs involvement in the immune response in sepsis	5	38	69	13.16%	7.51	0.000
Quercetin and Nf-kB / AP-1 induced apoptosis	3	15	28	20.00%	7.37	0.000
Oligodendrocyte specification and differentiation, leading to myelin components for CNS	4	26	46	15.38%	7.35	0.000
Aryl hydrocarbon receptor pathway	5	41	49	12.20%	7.18	0.000
Toll-like receptor signaling pathway	8	100	117	8.00%	7.03	0.000
Docosahexaenoic acid oxylipin metabolism	1	2	44	50.00%	6.94	0.000
Antiviral and anti-inflammatory effects of Nrf2 on SARS-CoV-2 pathway	4	29	50	13.79%	6.90	0.000
Development and heterogeneity of the ILC family	4	30	33	13.33%	6.77	0.002
Overview of nanoparticle effects	3	18	42	16.67%	6.66	0.000
Interactions of natural killer cells in pancreatic cancer	4	32	43	12.50%	6.52	0.000
Nanomaterial-induced inflammasome activation	2	9	13	22.22%	6.37	0.001
Vitamin D in inflammatory diseases	3	22	25	13.64%	5.94	0.000
Fibrin complement receptor 3 signaling pathway	4	39	47	10.26%	5.79	0.000
NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence	3	23	46	13.04%	5.78	0.001
Neuroinflammation	2	11	31	18.18%	5.70	0.000
Ebstein-Barr virus LMP1 signaling	3	24	25	12.50%	5.64	0.000
Inflammatory bowel disease signaling	4	41	47	9.76%	5.62	0.000
TNF-related weak inducer of apoptosis (TWEAK) signaling pathway	4	41	45	9.76%	5.62	0.001
NO/cGMP/PKG mediated neuroprotection	4	42	65	9.52%	5.54	0.000
Cytosolic DNA-sensing pathway	5	66	77	7.58%	5.36	0.001
Th17 cell differentiation pathway	5	66	72	7.58%	5.36	0.000
TLR4 signaling and tolerance	3	27	30	11.11%	5.26	0.000
Vitamin B12 metabolism	4	47	118	8.51%	5.16	0.001
Extrafollicular B cell activation by SARS-CoV-2	5	70	77	7.14%	5.16	0.002
Selenium micronutrient network	5	72	198	6.94%	5.06	0.000
Selective expression of chemokine receptors during T-cell polarization	3	29	30	10.34%	5.04	0.000
Burn wound healing	6	102	133	5.88%	4.95	0.000
Resistin as a regulator of inflammation	3	31	34	9.68%	4.84	0.003
Novel intracellular components of RIG-I-like receptor pathway	4	55	64	7.27%	4.66	0.002
T-cell receptor signaling pathway	5	86	93	5.81%	4.48	0.002
Glucocorticoid receptor pathway	4	59	73	6.78%	4.45	0.002
TNF-alpha signaling pathway	5	87	97	5.75%	4.44	0.004
Cells and molecules involved in local acute inflammatory response 	2	17	19	11.76%	4.44	0.004
Type II interferon signaling	3	36	38	8.33%	4.41	0.008
T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection	4	60	70	6.67%	4.40	0.001
Kynurenine pathway and links to cell senescence	2	18	56	11.11%	4.29	0.002
let-7 inhibition of ES cell reprogramming	1	5	17	20.00%	4.25	0.006
Hypertrophy model	2	19	21	10.53%	4.16	0.001
STING pathway in Kawasaki-like disease and COVID-19	2	19	28	10.53%	4.16	0.009
Folate metabolism	4	66	142	6.06%	4.12	0.001
Measles virus infection	6	135	155	4.44%	4.02	0.001
Pre-implantation embryo	3	43	60	6.98%	3.93	0.007
Cancer immunotherapy by PD-1 blockade	2	21	35	9.52%	3.91	0.009
Nuclear receptors meta-pathway	9	269	339	3.35%	3.89	0.000
Non-genomic actions of 1,25 dihydroxyvitamin D3	4	72	100	5.56%	3.88	0.004
Metabolism of alpha-linolenic acid	1	6	27	16.67%	3.84	0.013
SCFA and skeletal muscle substrate metabolism	1	6	17	16.67%	3.84	0.003
LDL- influence on CD14 and TLR4	2	22	28	9.09%	3.80	0.014
Photodynamic therapy-induced unfolded protein response	2	22	28	9.09%	3.80	0.009
SARS-CoV-2 mitochondrial chronic oxidative stress and endothelial dysfunction	2	22	49	9.09%	3.80	0.006
Transcription factor regulation in adipogenesis	2	22	24	9.09%	3.80	0.012
Ulcerative colitis signaling	2	22	28	9.09%	3.80	0.010
Gastrin signaling pathway	5	113	115	4.42%	3.66	0.004
Chemokine signaling pathway	6	152	172	3.95%	3.65	0.004
IL1 and megakaryocytes in obesity	2	24	26	8.33%	3.60	0.004
Unfolded protein response	2	24	28	8.33%	3.60	0.014
Hepatitis C and hepatocellular carcinoma	3	49	63	6.12%	3.59	0.004
T-cell activation SARS-CoV-2	4	82	98	4.88%	3.52	0.005
Activation of NLRP3 inflammasome by SARS-CoV-2	1	7	10	14.29%	3.52	0.042
EV release from cardiac cells and their functional effects	1	7	17	14.29%	3.52	0.011
Relationship between inflammation, COX-2 and EGFR	2	25	29	8.00%	3.50	0.011
IL-1 signaling pathway	3	53	57	5.66%	3.40	0.004
TGF-beta receptor signaling	3	53	56	5.66%	3.40	0.007
TGF-beta receptor signaling in skeletal dysplasias	3	56	60	5.36%	3.27	0.006
Caloric restriction and aging	1	8	13	12.50%	3.25	0.034
Canonical NF-kB pathway	1	8	9	12.50%	3.25	0.058
Allograft rejection	4	92	113	4.35%	3.22	0.010
Monoamine transport	2	29	47	6.90%	3.18	0.020
RAS and bradykinin pathways in COVID-19	2	31	51	6.45%	3.04	0.018
Macrophage markers	1	9	10	11.11%	3.04	0.051
